name,rent,area,x,y,rent/area
天籁园,20240 ,293.3 ,121.4079396,31.06415024,69
新黄小区,4318 ,41.1 ,121.424245,31.26512694,105
鞍山五村,6366 ,52.2 ,121.5014862,31.27860283,122
世纪之春花园,10450 ,105.6 ,121.3524046,31.21793634,99
竹园新村,1980 ,110.0 ,121.527421,31.23109368,18
莘松三村,3200 ,45.1 ,121.3664248,31.11124697,71
控江绿苑,4400 ,49.4 ,121.5420535,31.28705035,89
徐汇华园,7700 ,120.3 ,121.4480781,31.13169576,64
海联公寓,5622 ,54.1 ,121.4656333,31.24637909,104
天平小区,6250 ,57.9 ,121.4347424,31.20012686,108
金泰小区,3520 ,46.9 ,121.5842672,31.25760073,75
中山新村,4300 ,43.0 ,121.4505713,31.20058709,100
沪中新苑,12144 ,80.4 ,121.433664,31.22917223,151
临江二村,2200 ,52.4 ,121.4815511,31.41277164,42
梅川一街坊,5046 ,51.0 ,121.3907813,31.24178509,99
蒙西小区,6660 ,49.3 ,121.4708712,31.2092423,135
桂巷新村,3625 ,41.2 ,121.3947746,31.24123862,88
上南八村,4536 ,41.2 ,121.498095,31.17474717,110
金沙丽晶苑,9983 ,112.2 ,121.3551079,31.24635789,89
峨山小区,6430 ,46.9 ,121.519355,31.21553101,137
宝钢三村,2561 ,32.4 ,121.4764327,31.40506824,79
新川苑,4400 ,104.8 ,121.6892041,31.19466739,42
凌桥二村,2552 ,67.2 ,121.5368096,31.36498804,38
东苑世纪名门,7000 ,100.0 ,121.3711761,31.10861154,70
高层小区,2200 ,52.4 ,121.2413416,31.38585058,42
宝地东花园,11020 ,119.8 ,121.5087383,31.26457015,92
逸居苑,6050 ,77.6 ,121.489167,31.34299694,78
银星小区,5207 ,71.3 ,121.3682033,31.13702616,73
田林六村,3800 ,33.6 ,121.4162153,31.17344857,113
临沂七村,4730 ,45.5 ,121.5114796,31.19605746,104
珠光苑,4668 ,41.3 ,121.6788075,31.19580048,113
茶陵小区,4800 ,62.3 ,121.4635879,31.1980681,77
新文苑,12100 ,133.0 ,121.4845278,31.26712371,91
龙居苑,8433 ,124.0 ,121.5536276,31.25809318,68
金轩大邸,6233 ,74.2 ,121.4944623,31.27264606,84
芳沁苑,4500 ,62.5 ,121.4294505,31.27795751,72
中环和乐苑,4575 ,64.4 ,121.3434536,31.28472973,71
华江大楼,7315 ,67.7 ,121.4215189,31.22814798,108
绿洲仕格维花园,27500 ,202.2 ,121.4669886,31.20541393,136
星城花苑,3200 ,37.2 ,121.453508,31.31455306,86
浦江大厦,14117 ,128.3 ,121.4176865,31.20250562,110
虹桥万博花园,13790 ,149.9 ,121.3956207,31.21873505,92
上钢六村,4767 ,40.7 ,121.4859533,31.17391302,117
东航公寓,8938 ,76.4 ,121.4168463,31.19203756,117
利安小区,5280 ,36.9 ,121.4222277,31.21655343,143
龙华小区,7150 ,51.8 ,121.468733,31.19745906,138
芝巷小区,5381 ,46.8 ,121.389086,31.23863408,115
绿色丽园,7893 ,73.8 ,121.4444792,31.27660198,107
白玉兰馨园,5566 ,73.2 ,121.4264222,31.30226231,76
罗山一村,5438 ,47.3 ,121.5549142,31.25702003,115
汇龙公寓,1276 ,8.5 ,121.249796,31.38165878,150
华浜二村,4473 ,71.0 ,121.4954651,31.34818642,63
望族新城,12100 ,157.1 ,121.3983065,31.14807629,77
松风花园,5346 ,69.4 ,121.4286625,31.13495483,77
东安四村,6930 ,48.5 ,121.4464613,31.18906377,143
培花七村,5037 ,50.9 ,121.5530553,31.19320498,99
潍坊八村,5168 ,33.1 ,121.5231569,31.22128258,156
阳景小区,3685 ,41.4 ,121.4542871,31.32028666,89
莘松五村,3916 ,55.9 ,121.3637325,31.10941868,70
罗山四村,4665 ,39.5 ,121.5556294,31.25185148,118
清风雅苑,1430 ,84.1 ,121.8095077,30.91284176,17
桂林苑,8635 ,105.3 ,121.4132211,31.17348891,82
品华苑,4400 ,77.2 ,121.5170709,31.14194855,57
鑫国家园,12750 ,127.5 ,121.43487,31.1884175,100
东盛公寓,6666 ,87.7 ,121.5157098,31.18420164,76
绿洲公寓,5665 ,73.6 ,121.3891373,31.25360259,77
黄浦丽园,27896 ,171.1 ,121.4812333,31.21105787,163
东安五村,5528 ,38.9 ,121.44707,31.18656194,142
殷行一村,4447 ,45.4 ,121.5383647,31.32880663,98
凌桥苑,2530 ,84.3 ,121.5411884,31.36769112,30
上南一村,4556 ,36.7 ,121.4927319,31.17958702,124
施湾家园,2558 ,69.1 ,121.7528328,31.14771332,37
保利西子湾,3555 ,71.1 ,121.2285724,31.06067023,50
牡丹逸庭,2750 ,72.4 ,121.2433921,31.10633231,38
达安锦园,13869 ,85.6 ,121.4371538,31.24019229,162
永和二村,4605 ,48.5 ,121.425719,31.29327141,95
孙桥花苑,4361 ,47.4 ,121.6252876,31.18173727,92
罗山五村,5390 ,43.8 ,121.5540278,31.25052172,123
上南十村,4657 ,46.1 ,121.4932768,31.17448959,101
城市方园,4550 ,68.9 ,121.5318358,31.33644209,66
乐业一村,2133 ,53.3 ,121.4302644,31.41301648,40
万里雅筑,7500 ,108.7 ,121.3990254,31.2676362,69
友谊三村,2860 ,31.1 ,121.4731109,31.28530418,92
景阳小区,3300 ,39.8 ,121.457067,31.32173836,83
铭晖西郊苑,10600 ,129.3 ,121.3710602,31.21360057,82
恒盛豪庭,7975 ,124.6 ,121.4650135,31.32647008,64
华邦佳苑,4895 ,92.4 ,121.7087138,31.20407345,53
控江六村,2600 ,21.5 ,121.5258599,31.28607775,121
宁阳小区,4526 ,33.3 ,121.5122204,31.21416805,136
嘉邦小区,2530 ,79.1 ,121.2482769,31.39694389,32
绿地新江桥城,4886 ,76.3 ,121.3069793,31.23835543,64
云帆花苑,1650 ,63.5 ,121.8102998,30.90138296,26
龙威新村,2530 ,81.6 ,121.1094837,31.15666882,31
融都金桥园,8800 ,122.2 ,121.5811393,31.25886166,72
南园小区,7649 ,67.1 ,121.4704171,31.20118622,114
鞍山三村,3550 ,43.3 ,121.5094547,31.27977429,82
上南三村,3400 ,40.5 ,121.4936825,31.17550817,84
恒城花苑,8200 ,101.2 ,121.4861474,31.26721018,81
曲阳名邸,8250 ,99.4 ,121.4770967,31.28936853,83
士林华苑,13000 ,120.4 ,121.4871029,31.2231345,108
东安花苑,12870 ,118.1 ,121.4512176,31.18830688,109
城市庭园,8250 ,94.8 ,121.5310674,31.33462276,87
松花一村,4107 ,37.7 ,121.536657,31.29696967,109
兰花新村,3200 ,46.4 ,121.5224411,31.30493707,69
粤秀苑,4136 ,41.4 ,121.4562121,31.28700214,100
华欣家园,3823 ,53.8 ,121.4551694,31.12159101,71
汇元坊,7450 ,112.9 ,121.4464499,31.22200485,66
