name,x,y,area,rent,rent/m2
 枫树林景苑,121.6475857,31.26276975,12.16,1860,152.9605263
 民东公寓,121.3109416,31.29500132,12,1890,157.5
 桃浦新家园,121.3432496,31.29000726,16,1990,124.375
 万兆家园(五期),121.3462192,31.15065815,12.8,2490,194.53125
 富弘苑,121.4195425,31.34847946,16.9,1990,117.7514793
 双桥小区,121.5919232,31.28809595,15,2330,155.3333333
 和合新村,121.5706093,31.15382563,18.8,2160,114.893617
 红枫苑,121.522331,31.14181194,11.5,1990,173.0434783
 日月新苑,121.4993235,31.15166125,10,2190,219
 三林新村(永泰路468弄),121.5091802,31.13843127,11.8,2390,202.5423729
 古楼新苑,121.2493531,31.10664497,11.3,1890,167.2566372
 经纬学府涵青花园(二期),121.3929125,31.3327128,11.1,1890,170.2702703
 莲溪二村,121.555269,31.1872181,12.3,1990,161.7886179
 桃浦新家园,121.3432496,31.29000726,16,1990,124.375
 万兆家园(五期),121.3462192,31.15065815,12.8,2490,194.53125
 富弘苑,121.4195425,31.34847946,16.9,1990,117.7514793
 双桥小区,121.5919232,31.28809595,15,2330,155.3333333
 和合新村,121.5706093,31.15382563,18.8,2160,114.893617
 红枫苑,121.522331,31.14181194,11.5,1990,173.0434783
 日月新苑,121.4993235,31.15166125,10,2190,219
 鑫都佳园,121.4173588,31.26574442,13.3,2790,209.7744361
 古楼新苑,121.2493531,31.10664497,11.3,1890,167.2566372
 经纬学府涵青花园(二期),121.3929125,31.3327128,11.1,1890,170.2702703
 瑞丰园,121.372886,31.31903371,12.5,1990,159.2
 万里真金苑,121.4017678,31.26925125,10.6,2360,222.6415094
 民东公寓,121.3109416,31.29500132,12,1890,157.5
 三湘四季花城,121.2242129,31.05554184,12,1890,157.5
 祁连二村,121.374342,31.31958213,14.1,1590,112.7659574
" 上泰花苑,",121.5592176,31.24842223,12,2690,224.1666667
 新城金郡,121.235739,31.34716781,86.41,4360,50.45712302
 桃浦一村瑞香苑,121.3482892,31.28701057,67,4690,70
 经纬城市绿洲,121.3988469,31.33070802,10.9,1890,173.3944954
 江中公寓,121.2208764,31.02922649,13.4,1630,121.641791
 浦江东旭公寓,121.581743,31.2962782,12,1960,163.3333333
 金地自在城(二期),121.2465896,31.12741789,19.1,1930,101.0471204
 好世凤凰城,121.3867696,31.09508406,14.7,2490,169.3877551
 新里城和合苑,121.5223551,31.16014888,11.9,1990,167.2268908
 闵浦新苑六村,121.5318805,31.06111294,15.6,1630,104.4871795
 朱梅小区,121.4084973,31.13087238,11.62,2390,205.6798623
 浣纱六村,121.5295146,31.29974913,17,2790,164.1176471
 文宝苑,121.3634019,31.34926378,8.9,1790,201.1235955
 古美西路420弄,121.3906817,31.13542748,14.1,2490,176.5957447
 平阳新村四街坊,121.3846045,31.13467151,12.7,2360,185.8267717
 运银公寓,121.58209,31.34424015,20.2,2190,108.4158416
 舒馨北苑,121.6631044,31.19353426,10.3,1830,177.6699029
 阳光苑,121.3182206,31.31789553,11.1,1960,176.5765766
 浦江东旭公寓,121.581743,31.2962782,12,1960,163.3333333
 金地自在城(二期),121.2465896,31.12741789,19.1,1930,101.0471204
 好世凤凰城,121.3867696,31.09508406,14.7,2490,169.3877551
 新里城和合苑,121.5223551,31.16014888,11.9,1990,167.2268908
 闵浦新苑六村,121.5318805,31.06111294,15.6,1630,104.4871795
 朱梅小区,121.4084973,31.13087238,11.62,2390,205.6798623
 浣纱六村,121.5295146,31.29974913,17,2790,164.1176471
 文宝苑,121.3634019,31.34926378,8.9,1790,201.1235955
 古美西路420弄,121.3906817,31.13542748,14.1,2490,176.5957447
